총생활인구수,기온,기압,풍속,운량,일강수량,최대순간풍속풍향,최대풍속풍향,평균풍속,최다풍향,일최심적설,일최심신적설,강수여부,일 미세먼지 농도(㎍/㎥),휴일여부,요일,계절,month,day,영등포구
394771.1772625,3.163243053559287,-1.061946043007059,-0.3741059297828949,0.5910113549375723,0.0,270,270,2.0,270,0.0,0.0,0.0,36.0,1,4,4,1,1,1547.0
400224.9214000001,3.5594973350293437,-1.21894166224575,0.9897979091822257,-1.477465332470317,0.0,290,320,2.6,270,0.0,0.0,0.0,43.0,0,5,4,1,2,1664.0
404194.64878333337,3.6007081034700708,-1.194788490055182,0.0810987231554895,-1.221170177066513,0.0,320,270,2.0,270,0.0,0.0,0.0,47.0,0,6,4,1,3,1526.0
463540.9898458333,3.2066595164939584,-1.1102523873881949,-1.4849498612077312,-0.5003057342317939,0.0,70,50,1.7,50,0.0,0.0,0.0,50.0,0,0,4,1,4,2555.0
464148.6869791667,3.568811852543017,-1.1464821456740464,1.15793447425907,-0.7771306176366792,0.0,340,290,2.9,290,0.0,0.0,0.0,37.0,0,1,4,1,5,2369.0
464150.5163958333,3.819351109906466,-1.182711903959898,4.235696241143262,-0.9502554146769738,2.3,290,290,2.4,270,3.8,3.8,1.0,30.0,0,2,4,1,6,1829.0
463164.9929,4.958514023049501,-1.2914011788174533,4.174520359900883,-0.697248502394723,0.0,290,290,4.1,270,3.3,0.0,0.0,56.0,0,3,4,1,7,444.0
463044.2202375,5.258812845344094,-1.3034777649127371,1.6708947687397684,-0.968600244433228,0.0,270,290,3.3,290,1.1,0.0,0.0,27.0,0,4,4,1,8,676.0
420185.06875416666,4.76071676898899,-1.2793245927221697,2.039465959364681,-0.8628190568588956,0.0,270,290,2.6,270,1.0,0.0,0.0,33.0,0,5,4,1,9,626.0
410841.50473333336,3.897005858241368,-1.182711903959898,-2.2255124821576224,-0.4049819512237135,0.0,160,50,1.3,290,0.7,0.0,0.0,48.0,0,6,4,1,10,764.0
465813.8297708333,3.645118546413453,-1.1344055595787628,-1.3745689376732009,0.5036268956370368,0.0,50,290,1.9,50,0.4,0.0,0.0,63.0,0,0,4,1,11,1635.0
465509.8496333333,3.093664032119503,-0.953256768149504,-1.5750035632212684,1.7730530450465694,2.6,50,50,1.8,50,5.1,5.0,1.0,88.0,0,1,4,1,12,1080.0
466345.4333875,1.864003765631507,-0.7238016323391099,0.4496699137804022,1.895149859684957,0.0,200,230,2.4,50,5.0,0.0,0.0,146.0,0,2,4,1,13,1665.0
465881.5612958334,2.2908543353641937,-1.0377928708164914,-0.832730822421345,-1.2374858041305683,0.0,70,70,2.3,70,0.0,0.0,0.0,100.0,0,3,4,1,14,2708.0
464517.7250583333,1.5595513228558051,-0.6996484601485421,1.4161247413494518,0.406170112901672,0.2,250,230,3.0,50,0.0,0.0,1.0,109.0,0,4,4,1,15,2768.0
418664.3493291666,3.3192147612960308,-1.098175801292911,0.6755621203995612,-0.3075770670058913,0.0,250,250,3.3,290,0.0,0.0,0.0,69.0,0,5,4,1,16,1562.0
412083.1378166667,3.512119714539045,-1.1102523873881949,-0.7189296591867488,-0.5576289187804693,0.0,230,230,2.3,270,0.1,0.1,0.0,29.0,0,6,4,1,17,1279.0
467075.6428375,3.1730156102453315,-1.0377928708164914,4.140512179579626,-0.2482246797650167,0.3,270,290,3.2,290,1.0,0.9,1.0,53.0,0,0,4,1,18,1458.0
469548.487675,3.789728936713223,-1.2430948344363175,0.0199228419131094,-1.9315772153349808,0.0,320,320,1.8,290,0.0,0.0,0.0,43.0,0,1,4,1,19,2225.0
470923.2224125,2.6735337253180647,-1.1344055595787628,-0.5796709148810615,-1.722918002176446,0.0,70,50,2.2,50,0.0,0.0,0.0,59.0,0,2,4,1,20,2998.0
470726.8424125,1.594885132225237,-0.7479548045296778,-1.2353101933675137,0.0122845765758138,9.2,50,50,2.3,70,0.0,0.0,1.0,72.0,0,3,4,1,21,1395.0
468521.8920166667,1.1753641382432871,-0.3977338077664445,-1.6870946066058317,3.5835904554898788,0.1,70,70,1.7,50,0.0,0.0,1.0,71.0,0,4,4,1,22,2817.0
422466.027975,0.9321554699020632,-0.590959185290987,1.2139799959513513,0.6403433172611602,0.0,50,70,4.2,70,0.0,0.0,0.0,0.0,0,5,4,1,23,3256.0
413363.34619583335,1.0120121542399985,-0.6392655296721226,-0.1822219034849913,0.2878504195513451,0.0,20,70,2.1,70,0.0,0.0,0.0,20.0,0,6,4,1,24,4127.0
470496.6595,0.9589024094644956,-0.6392655296721226,-1.289645595209762,-0.0554441140215713,0.0,70,70,1.9,70,0.0,0.0,0.0,34.0,0,0,4,1,25,4631.0
471121.3197875,1.3871259122541375,-0.5547294270051353,-0.8021428818001549,1.9424007207988032,1.7,320,270,1.9,50,0.0,0.0,1.0,70.0,0,1,4,1,26,2134.0
471979.8982583333,2.2256490010220293,-1.0257162847212071,0.6178064788572469,-1.4428048756500078,0.0,20,360,2.2,270,0.0,0.0,0.0,50.0,0,2,4,1,27,3718.0
470845.9530833333,3.131629474641387,-1.0740226291023431,5.034014503635468,-0.5868681327519413,2.0,270,250,4.0,270,3.6,3.6,1.0,51.0,0,3,4,1,28,1866.0
472018.44535833335,4.1813247396152375,-1.2551714205316016,3.15202001063955,-1.4084776014435785,0.0,250,270,3.5,270,0.7,0.0,0.0,32.0,0,4,4,1,29,2025.0
424217.35848750005,2.718315213464629,-1.0136396986259235,0.133724005147705,-0.0621243972997624,0.5,320,290,2.5,50,0.8,0.8,1.0,74.0,0,5,4,1,30,2120.0
417789.61288333335,1.9719432014259493,-0.8928738376730846,-0.4081141101041505,-0.3707065755348269,0.0,50,50,2.0,70,0.0,0.0,0.0,75.0,0,6,4,1,31,3013.0
473801.8656,1.55200771890203,-0.5788825991957031,2.1515570027492443,0.8606670768977582,0.7,270,270,2.7,50,0.0,0.0,1.0,99.0,0,0,4,2,1,3283.0
475991.6577375,3.5854020301771365,-1.194788490055182,1.645437187668677,-1.2625628156825563,0.0,290,290,3.9,270,0.0,0.0,0.0,39.0,0,1,4,2,2,2537.0
476083.298175,3.0606666745223228,-1.0136396986259235,0.0810987231554895,0.3200446940304896,3.4,270,230,2.2,200,4.2,4.2,1.0,49.0,0,2,4,2,3,2553.0
477252.1756708333,3.1700358950675755,-1.1344055595787628,1.0781414913457297,-0.9439602125302052,0.1,250,250,2.5,270,4.3,0.2,1.0,35.0,0,3,4,2,4,1724.0
475563.6482208333,2.112032807642674,-0.8083377350060973,0.648394419478437,1.376264346730581,0.0,230,200,2.4,200,1.4,0.0,0.0,41.0,0,4,4,2,5,3085.0
424717.22765,1.031913264669113,-0.4460401521475802,-0.0072448590080153,2.283614153161978,0.0,230,180,2.2,200,0.0,0.0,0.0,108.0,0,5,4,2,6,3065.0
418230.3604291666,1.8616690956269637,-0.7600313906249616,0.7893632836341574,-0.1666984429622839,0.0,290,250,2.9,270,0.0,0.0,0.0,118.0,0,6,4,2,7,2670.0
474596.6725666667,3.1243994474524586,-1.1585587317693304,1.9562527367512752,-1.242907046979406,0.0,320,320,3.4,290,0.0,0.0,0.0,34.0,0,0,4,2,8,2668.0
472562.0535833333,2.675284328001216,-1.061946043007059,0.133724005147705,-0.903826614343516,0.0,250,250,2.0,250,0.0,0.0,0.0,31.0,0,1,4,2,9,3423.0
457681.1892916666,1.7532724672359383,-0.6996484601485421,-0.2620148863983316,1.6559923921255963,0.0,200,200,2.1,230,0.0,0.0,0.0,56.0,0,2,4,2,10,3753.0
385721.9758416666,1.3004811758935388,-0.6513421157674065,-1.7431401282981132,0.8079949729350747,0.0,110,90,1.3,70,0.0,0.0,0.0,106.0,1,3,4,2,11,2850.0
371852.57444166666,1.2082446096256263,-0.7358782184343938,-1.286225355509696,-0.4610460953430352,0.0,250,250,1.7,20,0.0,0.0,0.0,123.0,1,4,4,2,12,2885.0
385031.8525041667,1.1078977516072448,-0.8083377350060973,-1.0042876271982557,-1.1342226974149434,0.0,290,290,1.5,20,0.0,0.0,0.0,116.0,1,5,4,2,13,4158.0
403848.1100333333,0.7999101706024524,-0.7358782184343938,-1.3185234159809192,-0.9736364061506426,0.0,270,250,1.7,70,0.0,0.0,0.0,115.0,0,6,4,2,14,3592.0
470093.3812875,2.1579606524757478,-0.8566440793872329,3.267531293724179,0.044478851054958,1.4,270,250,4.0,250,0.0,0.0,1.0,78.0,0,0,4,2,15,2588.0
476484.3226875,3.301686868385262,-1.1223289734834787,2.864951922778011,-0.4572689740549742,1.5,290,290,3.2,270,1.1,1.1,1.0,36.0,0,1,4,2,16,1900.0
478659.0401708333,4.049511942088556,-1.2430948344363175,3.870545290218416,-1.0919560995009692,0.0,270,270,5.0,270,0.9,0.0,0.0,64.0,0,2,4,2,17,1917.0
478816.4097541666,3.609498815426184,-1.194788490055182,1.382116561028196,-0.9698592848625818,0.0,270,290,3.1,270,0.2,0.0,0.0,58.0,0,3,4,2,18,2507.0
475721.0630625,2.158274319570427,-0.8083377350060973,1.7898262915244632,0.6817359558772037,0.0,180,230,2.9,200,0.0,0.0,0.0,67.0,0,4,4,2,19,3715.0
429498.0237625,0.7587431300243922,-0.6271889435768387,-0.832730822421345,-0.6408511756615212,0.0,180,200,2.1,200,0.0,0.0,0.0,99.0,0,5,4,2,20,4926.0
424684.05465,0.4102575760471373,-0.3977338077664445,1.3583690998071376,0.5826350515810618,0.0,180,200,2.8,50,0.0,0.0,0.0,108.0,0,6,4,2,21,6381.0
479528.6111291666,1.1924429317737149,-0.6271889435768387,2.0972216009069955,-0.7374339990989552,0.0,290,290,2.9,290,0.0,0.0,0.0,69.0,0,0,4,2,22,4709.0
480828.484275,2.68519838029628,-1.1706353178646145,0.5294628966937421,-2.0256419579137077,0.0,290,290,2.9,290,0.0,0.0,0.0,69.0,0,1,4,2,23,3683.0
483291.2657666667,2.180882631914528,-1.1223289734834787,-1.7448502481481465,-2.1142854576435965,0.0,290,290,1.8,50,0.0,0.0,0.0,66.0,0,2,4,2,24,4548.0
482964.6039666667,1.947913544254515,-1.0740226291023431,-2.113421438773059,-1.8044442389791784,0.0,20,50,1.4,50,0.0,0.0,0.0,73.0,0,3,4,2,25,4531.0
486022.5997166667,1.278789795656624,-0.965333354244788,-0.4064039902541178,-2.1076051743654056,0.0,20,70,2.3,50,0.0,0.0,0.0,42.0,0,4,4,2,26,6105.0
