일시,총생활인구수
2019-01-01,434808.28940416663
2019-01-02,502461.13828749995
2019-01-03,504706.94555833336
2019-01-04,505769.67113750003
2019-01-05,453707.1788791667
2019-01-06,449673.5995708334
2019-01-07,503223.52935833327
2019-01-08,502318.21774166665
2019-01-09,501385.3303916666
2019-01-10,501950.19062500005
2019-01-11,502471.0718083333
2019-01-12,452162.3497083334
2019-01-13,445138.7019625
2019-01-14,498207.6483041667
2019-01-15,501032.41077083326
2019-01-16,502450.696775
2019-01-17,501969.4011291667
2019-01-18,502930.4268875
2019-01-19,451320.1879416667
2019-01-20,447147.67434583337
2019-01-21,500078.04144166666
2019-01-22,505233.1210583334
2019-01-23,504791.77630833327
2019-01-24,502768.77253333334
2019-01-25,503804.50502916664
2019-01-26,449774.4853291667
2019-01-27,446921.6827625
2019-01-28,500526.12289583334
2019-01-29,502895.77942499996
2019-01-30,503198.8515375
2019-01-31,501285.18196666666
2019-02-01,490792.7316458333
2019-02-02,421289.03410833335
2019-02-03,401723.43308750005
2019-02-04,368655.944075
2019-02-05,373483.9580583333
2019-02-06,405617.8316875
2019-02-07,482328.4347125
2019-02-08,496236.62994166673
2019-02-09,447288.70595833333
2019-02-10,445568.66690416663
2019-02-11,501929.62056250003
2019-02-12,502297.1148583333
2019-02-13,503316.030125
2019-02-14,503307.44007916667
2019-02-15,501134.29967916664
2019-02-16,458030.3402
2019-02-17,449928.26221666666
2019-02-18,500711.04216250003
2019-02-19,495914.00299999997
2019-02-20,474407.26844583335
2019-02-21,473217.58003333333
2019-02-22,469159.0615291667
2019-02-23,423903.3351541667
2019-02-24,416649.75175
2019-02-25,465719.3894125
2019-02-26,494737.4035416667
2019-02-27,503073.3434166667
2019-02-28,501103.8729166667
2019-03-01,438415.41042083333
2019-03-02,432016.88505
2019-03-03,442115.14599999995
2019-03-04,489915.99999166664
2019-03-05,493538.6032416666
2019-03-06,496718.6367
2019-03-07,496914.8534291667
2019-03-08,498519.74614166666
2019-03-09,455143.65126250003
2019-03-10,447137.5282666667
2019-03-11,491748.99374583334
2019-03-12,493217.6051625
2019-03-13,495122.95615833334
2019-03-14,492105.9870416667
2019-03-15,495642.24170416663
2019-03-16,450622.6054416667
2019-03-17,443342.6550458333
2019-03-18,488992.90284999995
2019-03-19,491431.07464999997
2019-03-20,491803.2775833334
2019-03-21,490684.1804416667
2019-03-22,492265.70112499996
2019-03-23,447604.0198375
2019-03-24,441625.628475
2019-03-25,489184.00373750005
2019-03-26,493032.8634625
2019-03-27,496145.5548666667
2019-03-28,491415.04438333336
2019-03-29,494178.81662083336
2019-03-30,448677.6495541667
2019-03-31,450507.4665625
2019-04-01,496900.1619625001
2019-04-02,502656.2679958333
2019-04-03,505933.41534166667
2019-04-04,491229.60091249994
2019-04-05,489832.8064083333
2019-04-06,449504.9251333333
2019-04-07,467693.65935416665
2019-04-08,492646.2243875
2019-04-09,487000.0987625
2019-04-10,487592.35449166666
2019-04-11,493660.6288958334
2019-04-12,493574.37470833334
2019-04-13,461322.13172916666
2019-04-14,438634.0068166667
2019-04-15,481847.8555833333
2019-04-16,485606.70132500003
2019-04-17,486028.7907125
2019-04-18,483099.7501208333
2019-04-19,485808.95677083335
2019-04-20,437258.71020833333
2019-04-21,431004.99597083335
2019-04-22,478028.80827916664
2019-04-23,479604.350775
2019-04-24,485052.7458541666
2019-04-25,481341.2474666666
2019-04-26,482087.2143916667
2019-04-27,436814.201475
2019-04-28,428477.65804999997
2019-04-29,471853.4660125
2019-04-30,478741.7618791667
2019-05-01,426497.3354208333
2019-05-02,469398.67702916666
2019-05-03,475020.4262791667
2019-05-04,416800.650825
2019-05-05,406504.269425
2019-05-06,407971.9174916667
2019-05-07,467030.3457625
2019-05-08,471775.59905416664
2019-05-09,473594.1195624999
2019-05-10,477446.9722249999
2019-05-11,430040.55955
2019-05-12,421430.420525
2019-05-13,467847.34556250006
2019-05-14,472057.72067083337
2019-05-15,475370.0187791667
2019-05-16,471723.89115
2019-05-17,475787.52417499997
2019-05-18,432331.77133333334
2019-05-19,425053.3964958333
2019-05-20,470152.3308791666
2019-05-21,473306.83804999996
2019-05-22,474050.7810333334
2019-05-23,474350.75056666665
2019-05-24,476243.5278583334
2019-05-25,430166.8065333333
2019-05-26,427374.04034583335
2019-05-27,466899.99050416664
2019-05-28,473926.98086666665
2019-05-29,470938.8004375
2019-05-30,463778.3927458333
2019-05-31,467350.4494666666
2019-06-01,424501.31847083336
2019-06-02,421617.7486583333
2019-06-03,464152.64405
2019-06-04,468708.90172916674
2019-06-05,469721.81377916667
2019-06-06,406457.0980041667
2019-06-07,448737.41545
2019-06-08,415523.73832916666
2019-06-09,410234.0334125
2019-06-10,463428.7976833333
2019-06-11,467016.92232499993
2019-06-12,467528.0928416667
2019-06-13,466223.99412499997
2019-06-14,465783.5763208333
2019-06-15,419324.41061666666
2019-06-16,415115.98720000003
2019-06-17,461238.0710166667
2019-06-18,465901.44515416666
2019-06-19,487417.2628833334
2019-06-20,489664.82362499996
2019-06-21,484454.62367500004
2019-06-22,435401.119725
2019-06-23,424569.4638625
2019-06-24,474607.1616666667
2019-06-25,478455.6206333333
2019-06-26,477568.7171125
2019-06-27,477804.19651250006
2019-06-28,475588.08800416667
2019-06-29,422928.50776666665
2019-06-30,417896.63570416666
2019-07-01,469622.68598749995
2019-07-02,472232.5109916667
2019-07-03,471090.4437666667
2019-07-04,467391.9107958333
