기준일ID,총생활인구수
20220101,388783.0224125
20220102,396541.6966326667
20220103,415935.7574803333
20220104,417706.0179906667
20220105,418402.1963373333
20220106,418508.9592861667
20220107,417798.85030166665
20220108,406147.4204648333
20220109,403622.75347316667
20220110,417856.36121016665
20220111,418867.98992933333
20220112,419205.42549783335
20220113,419089.3246488333
20220114,417909.9285405
20220115,406587.97446916666
20220116,403860.3620263333
20220117,418144.20463733334
20220118,419167.1333668333
20220119,419281.45143033337
20220120,419537.66745466663
20220121,418457.1664633333
20220122,406614.71376066667
20220123,403790.016806
20220124,418430.2465863333
20220125,419716.0934075
20220126,419858.7782798333
20220127,418965.31010066665
20220128,413299.91967800003
20220129,391516.34734283335
20220130,373608.4288178333
20220131,362249.55130349996
20220201,366776.92071566667
20220202,386493.6781476667
20220203,411236.53300833335
20220204,415152.1625373333
20220205,406182.3067248333
20220206,405353.4354951667
20220207,419059.2099753333
20220208,419597.3796035
20220209,419661.74112566665
20220210,419474.03037033335
20220211,418242.90389583335
20220212,406452.87180933333
20220213,403610.9890075
20220214,417508.5458003333
20220215,418103.3641601667
20220216,418354.906579
20220217,418075.25648549997
20220218,416605.169188
20220219,406130.26086316665
20220220,404116.36035416665
20220221,417011.8461095
20220222,417863.0180975
20220223,418026.2607785
20220224,417665.5173185
20220225,417660.4731258333
20220226,405287.18046633335
20220227,400549.5644068334
20220228,412497.94542166666
20220301,405784.05035316665
20220302,418424.516707
20220303,419074.3147918333
20220304,418711.1610396667
20220305,408703.7387626667
20220306,405917.6628211667
20220307,418582.51538083336
20220308,419114.6209368333
20220309,408240.3221546667
20220310,418609.8344741667
20220311,418215.9205065
20220312,407990.033821
20220313,406668.69721400004
20220314,418533.4935413333
20220315,418502.48866566666
20220316,417923.57347683335
20220317,418017.7723768333
20220318,417857.710397
20220319,408775.9221315
20220320,404999.0230278334
20220321,417231.2943253333
20220322,417850.2808045
20220323,417680.70584916667
20220324,418094.68375799997
20220325,417260.82338283333
20220326,407281.9278333333
20220327,402892.5301451667
20220328,416623.10196783335
20220329,417308.1240488333
20220330,417737.6473993333
20220331,418176.6047231667
20220401,416812.86697216664
20220402,403424.4234536667
20220403,400719.322748
20220404,417129.8036851667
20220405,417829.1991205
20220406,418092.51009299996
20220407,418409.2341126666
20220408,417247.73609283334
20220409,404880.53636666667
20220410,402414.10712983337
20220411,417820.5366153333
20220412,418346.52693116665
20220413,419390.8635683333
20220414,418977.7858315
20220415,416749.20746816666
20220416,402590.9956406667
20220417,400769.4339163333
20220418,417618.0052116667
20220419,419035.2097323333
20220420,418937.63507049996
20220421,419244.5868046667
20220422,418329.5606448334
20220423,404311.6704475
20220424,401693.07354383334
20220425,419189.72967383335
20220426,421245.0228373333
20220427,421280.32256
20220428,421377.8742298333
20220429,420054.3141345
20220430,406277.72329766664
20220501,404321.17183149996
20220502,422522.362609
20220503,423449.91466633335
20220504,422973.4080878333
20220505,399472.82875083335
20220506,406223.30584916665
20220507,393472.79216016666
20220508,397107.3338768333
20220509,423271.1386366667
20220510,426128.20730016666
20220511,426334.1084458333
20220512,426270.43088400003
20220513,425442.47136133333
20220514,411186.04182133335
20220515,408890.9876515
20220516,425591.0174938334
20220517,426581.8500476667
20220518,426222.4563581667
20220519,429484.10127050005
20220520,428699.34502
20220521,414587.52616
20220522,411700.8298431667
20220523,428142.40395300003
20220524,429213.1924646667
20220525,429591.77363250003
20220526,430258.59486483334
20220527,429373.05174316664
20220528,414995.4746316667
20220529,412112.12656149996
20220530,428690.94717716664
20220531,429926.7668508334
20220601,415462.9072856667
20220602,427713.921629
20220603,426079.8329365
20220604,414016.3725115
20220605,421638.2421165
20220606,431368.77981649997
20220607,446340.63532933337
20220608,430687.03167083336
20220609,430508.35529599997
20220610,429491.5245275
20220611,415331.1206148333
20220612,412413.58336600004
20220613,429355.38297416666
20220614,430872.6460186667
20220615,431184.6172113333
20220616,430656.2706746667
20220617,428710.63884883333
20220618,414382.8242503333
20220619,412030.6208996666
20220620,428913.62636883336
20220621,430220.2070263333
20220622,425784.8392333333
20220623,423765.2562728333
20220624,422615.46855449997
20220625,408329.80094399996
20220626,405744.6034576667
20220627,422553.62375233334
20220628,423745.4248973333
20220629,424526.9253668333
20220630,424454.268625
20220701,422486.6914885
20220702,407850.3683428333
20220703,405253.63409633335
20220704,422542.3208061667
20220705,423646.96284866665
20220706,423854.3419458333
20220707,423679.7041871667
20220708,422088.4281285
20220709,405890.1845383333
20220710,403395.7552521667
20220711,421790.91797066666
20220712,423099.194963
20220713,421220.1334611667
20220714,419080.86874866666
20220715,417367.4189468333
20220716,402837.64678483334
20220717,399982.0348895
20220718,416574.1147603333
20220719,417393.8098263333
20220720,417136.856393
20220721,416505.15161483333
20220722,414126.91617433337
20220723,398355.01127383334
20220724,395686.26192150003
20220725,411152.52529983333
20220726,411995.22536066663
20220727,412347.68820366665
20220728,411225.8121256667
20220729,407688.1533896667
20220730,389790.60013033333
20220731,388268.9162115
20220801,405699.2234398333
20220802,408633.932893
20220803,411021.8714445
20220804,411008.4596196667
20220805,408416.96107983333
20220806,393863.615015
20220807,392991.9729338334
20220808,409931.696366
20220809,409832.1500148333
20220810,412071.9955866667
20220811,411940.1259141667
20220812,408223.95446033333
20220813,389590.4031886667
20220814,381884.81578733335
20220815,388866.34163216664
20220816,411148.8765595
20220817,413869.7977948333
20220818,414249.03822016664
20220819,413057.44245183334
20220820,400063.5184688333
20220821,397343.88723033335
20220822,413533.1987775
20220823,415198.4383978333
20220824,415876.309335
20220825,415780.12502333336
20220826,414297.11232016666
20220827,399042.26056516665
20220828,396482.2955835
20220829,414162.018258
20220830,416501.2834315
20220831,417812.77711983334
20220901,417833.68829633336
20220902,417262.7025725
20220903,404575.3870005
20220904,405063.01388549997
20220905,419915.1082933333
20220906,419327.6002071667
20220907,418741.6121636667
20220908,409192.10247733333
20220909,369428.0979781667
20220910,349743.8334795
20220911,362386.02215033333
20220912,387166.8518881667
20220913,413497.0027886667
20220914,418129.63593416667
20220915,419052.19843183336
20220916,418424.86788566667
20220917,407431.844398
20220918,404625.592113
20220919,418487.05382333335
20220920,418713.25266816665
20220921,418508.45278500003
20220922,418227.655628
20220923,417312.686194
20220924,404504.0006621667
20220925,401709.47603799996
20220926,417347.80657766666
20220927,418420.1422441667
20220928,418509.968954
20220929,418244.1126171667
20220930,416933.9909065
20221001,397772.64970350004
20221002,388955.698672
20221003,397937.17125616665
20221004,417777.7415568333
20221005,419080.4941476667
20221006,418416.14929266664
20221007,417086.4422061667
20221008,400748.09208983334
20221009,391309.8961783333
20221010,397464.7871558333
20221011,416747.4675631667
20221012,418031.712258
20221013,418149.1534008333
20221014,417128.85267216666
20221015,403093.2987735
20221016,400672.50944249996
20221017,414246.13427783333
20221018,417585.91145066667
20221019,417779.18707833334
20221020,417734.0828345
20221021,416448.7259235
20221022,403096.30520716665
20221023,400143.72067916667
20221024,416453.47360716667
20221025,417844.0714886667
20221026,418278.83566366666
20221027,418412.7792065
