총생활인구수,기온,기압,풍속,운량,일강수량,최대순간풍속풍향,최대풍속풍향,평균풍속,최다풍향,일최심적설,일최심신적설,강수여부,일 미세먼지 농도(㎍/㎥),휴일여부,요일,계절,month,day,영등포구
388783.0224125,3.237102781771928,-1.2641115671665846,-1.4813431748561654,-0.8126158460065251,0.0,70,20,1.5,50,0.0,0.0,0.0,34.0,1,5,4,1,1,2010
396541.6966326667,2.7519702187323913,-1.1308547048745967,-0.17214285626222706,-0.3351951027062975,0.3,290,290,2.3,50,0.5,0.5,1.0,42.0,0,6,4,1,2,2065
415935.7574803333,2.9679908590513704,-1.1419594433989289,-0.6085429624602063,-0.5739054743564114,0.0,270,250,1.8,270,0.0,0.0,0.0,28.0,0,0,4,1,3,4356
417706.0179906667,2.9584073158248154,-1.208587874544923,-0.6449096379767049,-0.9916486247441105,0.0,270,250,2.4,290,0.0,0.0,0.0,37.0,0,1,4,1,4,4474
418402.1963373333,3.043428824235127,-1.2307973515935875,-1.5904432014056602,-0.6335830672689398,0.0,50,50,1.7,50,0.0,0.0,0.0,52.0,0,2,4,1,5,4665
418508.9592861667,2.8243517378553267,-1.2307973515935875,-0.2812428828117219,-0.9319710318315821,0.0,290,290,2.3,270,0.0,0.0,0.0,59.0,0,3,4,1,6,4768
417798.85030166665,2.7204539790733766,-1.2196926130692551,-1.2267764462406774,-1.40939177513181,0.0,270,250,1.5,250,0.0,0.0,0.0,65.0,0,4,4,1,7,4837
406147.4204648333,2.608804547038133,-1.0309120581556055,-1.1540430952076808,0.2615808264189871,0.0,180,200,1.7,250,0.0,0.0,0.0,70.0,0,5,4,1,8,3306
403622.75347316667,2.2342429188337927,-0.964283627009612,-1.4449764993396672,0.0825480476814017,0.0,290,270,1.7,270,0.0,0.0,0.0,129.0,0,6,4,1,9,2724
417856.36121016665,2.4695578011438704,-1.0309120581556055,-0.3539762338447185,-0.45455028853135443,0.9,250,250,2.0,270,0.9,0.9,1.0,97.0,0,0,4,1,10,4894
418867.9899293333,3.5360966056783343,-1.2752163056909167,1.3916241909471996,-0.3351951027062975,0.2,320,290,4.0,270,1.0,0.1,1.0,33.0,0,1,4,1,11,3093
419205.42549783335,3.8221210919064186,-1.3196352597882461,-0.5358096114272101,-0.6335830672689398,0.0,290,290,2.4,270,0.2,0.0,0.0,27.0,0,2,4,1,12,3647
419089.3246488333,3.599367812382127,-1.3085305212639138,1.937124323694674,-0.7529382530939968,0.0,320,270,3.3,270,0.0,0.0,0.0,29.0,0,3,4,1,13,3577
417909.9285405,3.3182318608824994,-1.3085305212639138,-0.8267430155591963,-1.2303589963942245,0.0,160,180,1.7,270,0.0,0.0,0.0,32.0,0,4,4,1,14,4040
406587.97446916666,2.809729575743064,-1.1863783974962583,-1.3358764727901722,-0.2158399168812406,0.0,20,50,1.9,50,0.0,0.0,0.0,52.0,0,5,4,1,15,3038
403860.3620263333,2.9358960681943502,-1.1641689204475936,0.300623925452251,-0.9319710318315821,0.0,250,250,3.3,270,0.0,0.0,0.0,46.0,0,6,4,1,16,2445
418144.2046373333,3.395987380044897,-1.2307973515935875,-0.20850953177872522,-0.394872695618826,0.5,230,270,2.2,270,0.8,0.8,1.0,30.0,0,0,4,1,17,2892
419167.1333668333,3.4690253994786806,-1.286321044215249,-0.7176429890097015,-1.0513262176566391,0.0,340,290,2.3,270,0.5,0.0,0.0,38.0,0,1,4,1,18,3636
419281.45143033337,3.447715799316511,-1.1641689204475936,-0.0994095052292301,0.32125841933151555,1.7,320,320,2.1,50,3.5,3.5,1.0,56.0,0,2,4,1,19,2316
419537.6674546666,3.3365072875199906,-1.208587874544923,-0.5721762869437081,-0.15616232396871216,0.0,320,320,1.8,270,2.4,0.0,0.0,46.0,0,3,4,1,20,3539
418457.1664633333,2.93038421850123,-1.1974831360205904,-1.299509797273674,-0.9319710318315821,0.0,50,50,1.8,20,0.0,0.0,0.0,44.0,0,4,4,1,21,4255
406614.71376066667,2.411876830634788,-1.1419594433989289,-1.2267764462406774,-0.7529382530939968,0.0,290,290,1.7,20,0.0,0.0,0.0,68.0,0,5,4,1,22,3279
403790.016806,2.097690522651966,-1.0864357507772673,-1.044943068658186,-0.09648473105618369,0.0,70,250,1.7,270,0.0,0.0,0.0,79.0,0,6,4,1,23,3204
418430.2465863333,1.7465912650457769,-0.975388365533944,0.3733572764852473,-0.03680713814365522,0.0,70,70,3.5,70,0.0,0.0,0.0,24.0,0,0,4,1,24,5248
419716.0934075,2.042946197122075,-0.831026764717624,-0.31760955832822,0.380936012244044,0.7,250,270,2.3,50,0.0,0.0,1.0,37.0,0,1,4,1,25,4150
419858.7782798333,2.2029057247141006,-1.042016796679938,-0.31760955832822,-0.6932606601814683,0.0,320,320,2.2,270,0.0,0.0,0.0,66.0,0,2,4,1,26,5183
418965.31010066665,2.649871363271892,-1.1863783974962583,-0.31760955832822,-0.8126158460065251,0.0,290,290,2.1,270,0.0,0.0,0.0,64.0,0,3,4,1,27,4918
413299.919678,2.922517186824795,-1.2196926130692551,-0.1357761807457289,-0.6932606601814683,0.0,290,290,2.8,270,0.0,0.0,0.0,34.0,0,4,4,1,28,4525
391516.34734283335,3.1144929000778774,-1.253006828642252,0.00969052132026439,-0.9916486247441105,0.0,320,320,2.4,290,0.0,0.0,0.0,32.0,0,5,4,1,29,2507
373608.4288178333,3.025373639022623,-1.253006828642252,-0.2812428828117219,-1.0513262176566391,0.0,290,270,2.2,270,0.0,0.0,0.0,36.0,0,6,4,1,30,2031
362249.5513035,2.7005586946537568,-1.108645227825932,0.04605719683676255,-0.3351951027062975,1.2,200,250,1.9,250,1.8,1.8,1.0,41.0,1,0,4,1,31,1983
366776.92071566667,2.737292380043428,-1.0198073196312736,0.1551572233862577,0.8583567555442717,1.7,320,270,2.6,250,5.0,3.3,1.0,52.0,1,1,4,2,1,894
386493.6781476667,3.0897275668905766,-1.1863783974962583,-0.0994095052292301,-0.5142278814438829,0.0,290,250,2.4,270,0.5,0.0,0.0,35.0,1,2,4,2,2,2082
