ranking,group_Name,team_Name,rating,win,draw,lose,point,seed
1,group_A,Uruguay,1946,3,0,0,9,seed1
2,group_A,Russia,1721,2,0,1,6,seed2
3,group_A,Saudi Arabia,1583,1,0,2,3,-
4,group_A,Egypt,1573,0,0,3,0,-
1,group_B,Spain,2010,1,2,0,5,seed1
2,group_B,Portugal,1939,1,2,0,5,seed2
3,group_B,Iran,1817,1,1,1,4,-
4,group_B,Morocco,1720,0,1,2,1,-
1,group_C,France,2127,2,1,0,7,seed1
2,group_C,Denmark,1895,1,2,0,5,seed2
3,group_C,Peru,1891,1,0,2,3,-
4,group_C,Australia,1712,0,1,2,1,-
1,group_D,Croatia,1943,3,0,0,9,seed1
2,group_D,Argentina,1896,1,1,1,4,seed2
3,group_D,Iceland,1709,1,0,2,3,-
4,group_D,Nigeria,1703,0,1,2,1,-
1,group_E,Brazil,2113,2,1,0,7,seed1
2,group_E,Switzerland,1879,1,2,0,5,seed2
3,group_E,Serbia,1773,1,0,2,3,-
4,group_E,Costa Rica,1725,0,1,2,1,-
1,group_F,Germany,1964,2,0,1,6,seed1
2,group_F,Sweden,1865,2,0,1,6,seed2
3,group_F,Mexico,1829,1,0,2,3,-
4,group_F,South Korea,1756,1,0,2,3,-
1,group_G,Belgium,2058,3,0,0,9,seed1
2,group_G,England,1913,2,0,1,6,seed2
3,group_G,Tunisia,1661,1,0,2,3,-
4,group_G,Panama,1595,0,0,3,0,-
1,group_H,Colombia,1939,2,0,1,6,seed1
2,group_H,Poland,1783,1,1,1,4,seed2
3,group_H,Senegal,1763,1,1,2,4,-
4,group_H,Japan,1699,1,0,0,3,-
